alumno,media_1E,media_2E,media_3E,media_4E,media_1B,media_2B
0,5.5,4.46,4.4,4.55,,
1,4.5,4.83,4.56,5.82,6.29,6.25
2,5.0,4.58,5.62,6.26,,
3,4.79,5.27,4.67,6.0,4.39,
4,6.0,5.33,5.0,5.93,,
5,5.9,4.36,3.48,2.28,,
6,4.9,5.0,,5.23,,
7,5.0,5.0,3.8,5.0,,
8,5.8,6.4,5.42,5.03,4.27,4.69
9,5.6,5.6,4.11,4.31,,
10,5.3,5.67,,4.79,,
11,5.07,5.36,5.67,4.12,,
12,4.57,4.88,,6.7,,
13,4.42,5.89,5.78,6.0,4.71,5.5
14,6.3,6.11,6.08,5.76,,
15,6.18,5.5,4.9,5.53,,
16,5.08,4.73,4.62,5.24,6.73,6.0
17,4.93,2.75,3.15,,,
18,6.7,6.4,6.32,5.52,6.89,7.33
19,6.2,7.22,5.31,5.36,5.26,5.96
20,6.7,6.22,4.64,4.77,5.0,5.12
21,4.91,4.8,3.38,,,
22,5.43,5.2,4.5,3.93,1.86,
23,5.45,3.1,2.47,,,
24,8.5,7.5,8.0,7.11,7.29,6.88
25,4.46,5.6,4.99,5.5,,
26,0.72,0.81,,,,
27,5.3,2.37,2.38,3.26,,
28,6.0,5.36,4.55,5.71,3.8,
29,9.4,9.8,9.59,9.67,9.85,9.83
30,8.5,8.8,9.18,8.52,,9.04
31,8.2,7.5,7.65,7.78,8.44,8.71
32,6.3,6.0,5.74,4.55,3.69,
33,6.6,6.91,6.29,5.62,5.3,4.84
34,6.3,6.55,5.89,5.37,4.73,4.41
35,6.6,6.5,6.74,6.59,7.97,7.83
36,7.5,7.9,7.44,6.48,6.25,7.04
37,7.5,7.8,7.03,5.85,6.27,6.58
38,8.2,8.5,9.12,8.89,9.07,9.58
39,6.9,6.6,6.74,6.89,5.6,6.29
40,5.9,5.56,5.77,5.21,5.94,4.18
41,7.9,8.0,8.97,8.67,9.18,9.86
42,8.5,8.6,9.21,8.93,8.52,9.38
43,8.2,8.3,9.0,9.07,8.67,9.08
44,5.91,5.14,5.03,5.83,7.63,7.29
45,7.1,7.4,7.62,7.7,8.7,9.29
46,7.7,8.0,7.94,8.19,8.04,8.12
47,6.6,6.3,6.12,5.18,7.7,5.96
48,8.7,8.5,9.21,9.07,9.63,9.74
49,8.0,8.0,8.44,8.37,7.77,7.7
50,5.08,4.36,3.74,4.67,,
51,7.5,6.9,7.62,7.07,6.54,7.83
52,8.4,6.9,7.91,7.3,7.93,7.75
53,6.9,6.9,6.88,6.22,6.4,6.59
54,5.5,5.9,6.52,6.7,6.52,6.62
55,5.3,5.9,6.18,5.03,6.7,5.08
56,6.7,5.56,5.06,5.03,3.62,1.16
57,5.73,4.0,3.19,,,
58,7.8,6.09,7.12,6.44,8.03,7.08
59,7.0,6.9,6.56,6.52,8.04,8.25
60,5.27,5.8,6.38,6.22,7.37,6.92
61,7.5,7.2,6.77,6.74,6.44,7.58
62,7.6,8.0,8.68,8.56,8.96,9.25
63,5.8,5.91,5.97,6.37,7.44,7.67
64,5.73,5.7,6.03,6.07,7.07,7.71
65,6.18,5.67,4.94,,,
66,8.0,8.0,8.85,8.67,9.33,9.52
67,5.27,5.45,6.06,7.04,6.74,7.17
68,6.9,6.7,5.41,5.69,6.67,
69,6.2,6.2,4.97,5.93,2.68,
70,8.2,8.6,8.74,9.0,8.85,8.79
71,5.89,3.2,2.14,,,
72,5.8,5.9,5.5,5.74,6.07,1.84
73,6.7,6.9,7.06,7.7,8.63,8.58
74,6.8,6.3,7.21,6.63,9.19,9.71
75,5.82,5.9,5.53,6.37,7.48,8.5
76,5.45,5.82,5.71,6.3,6.0,6.42
77,7.2,6.0,6.62,6.59,,
78,8.2,8.7,7.59,7.93,8.63,9.21
79,1.47,2.55,,,,
80,6.5,5.73,5.42,6.18,5.93,6.08
81,5.73,6.33,5.21,5.1,,
82,7.91,8.6,8.5,8.33,8.78,9.04
83,1.14,1.05,,,,
84,5.29,4.36,3.38,4.45,3.9,3.82
85,4.67,4.19,2.84,,,
86,1.26,2.33,2.44,,,
87,7.0,6.03,4.88,5.29,,
88,3.67,4.1,3.85,4.41,3.22,1.62
89,5.3,5.09,4.03,4.06,,
90,5.09,5.22,5.33,6.41,5.79,5.75
91,5.0,5.23,5.91,6.04,4.61,2.61
92,2.67,2.6,,,,
93,6.83,5.02,5.03,5.27,4.17,
94,5.67,3.85,3.2,,,
95,6.67,5.32,5.0,6.63,6.54,6.71
96,4.68,4.21,4.56,4.57,,
97,3.22,3.33,,,,
98,2.36,3.3,,,,
99,4.47,5.06,4.7,3.18,,
100,4.67,5.91,6.12,5.48,,
101,3.71,5.56,3.83,,,
102,5.0,4.13,5.2,6.3,,
103,1.06,2.65,4.31,,,
104,1.27,2.38,,,,
105,4.3,5.87,4.86,6.0,,
106,4.0,1.89,1.09,,,
107,5.51,6.42,4.66,5.03,3.56,
108,3.82,3.2,,,,
109,3.96,2.24,,,,
110,4.21,4.11,4.05,4.45,,
111,6.91,7.03,5.76,5.44,1.03,
112,7.9,8.61,9.0,8.56,9.41,9.33
113,8.91,8.74,8.38,8.89,8.85,8.92
114,7.0,6.94,5.79,6.96,6.74,4.71
115,4.83,4.88,4.36,5.43,,
116,6.58,6.84,7.15,6.96,,
117,3.38,4.61,3.54,,,
118,4.28,5.35,5.82,5.86,4.16,3.79
119,6.53,5.94,5.39,5.5,5.28,6.54
120,7.26,6.17,5.5,5.39,,
121,5.03,5.59,5.76,5.48,,
122,7.16,6.71,6.29,6.19,,
123,6.91,5.32,6.45,5.97,5.57,7.0
124,5.88,4.48,3.87,,,
125,7.25,7.03,6.97,5.56,6.56,8.21
126,5.16,5.68,5.05,5.1,,
127,4.56,4.37,4.52,,,
128,4.78,6.19,5.54,6.04,,
129,9.24,9.29,9.09,9.41,9.63,9.96
130,7.06,7.77,7.88,8.56,7.78,8.29
131,6.84,6.94,6.18,6.44,4.86,6.58
132,4.29,4.4,,,,
133,5.97,5.65,1.67,,,
134,7.94,7.31,7.0,8.26,8.26,8.62
135,4.98,6.82,6.13,7.3,6.52,6.92
136,8.35,7.77,,,,
137,8.03,8.39,8.15,8.44,8.37,9.0
138,5.09,5.22,5.08,4.9,4.48,
139,4.55,4.81,4.66,5.17,4.94,
140,6.97,6.32,6.15,5.67,7.04,7.62
141,6.0,5.31,5.51,7.3,,
142,3.87,3.71,,,,
143,8.16,8.68,7.79,8.19,7.56,7.0
144,5.46,6.26,4.33,,,
145,4.22,4.31,3.55,4.22,,
146,5.58,5.54,4.54,6.3,,
147,4.76,4.13,3.02,,,
148,8.16,8.55,9.15,9.22,9.33,9.62
149,2.24,1.05,,,,
150,7.75,7.68,6.6,8.0,7.96,8.04
151,5.89,5.85,5.37,6.59,,
152,3.64,4.29,6.33,3.28,,
153,3.67,2.87,,,,
154,6.61,5.82,5.69,4.32,,
155,9.91,9.96,,9.48,9.59,9.71
156,8.77,8.74,7.91,8.15,8.56,9.04
157,7.9,7.81,7.29,6.93,5.76,6.62
158,3.39,3.77,,,,
159,5.97,,,,,
160,4.32,4.43,4.14,,,
161,7.35,5.19,4.53,6.21,,
162,8.32,8.32,7.91,6.48,6.62,6.63
163,5.0,5.17,5.8,7.37,6.11,5.8
164,4.17,5.92,4.47,4.18,5.14,5.04
165,8.26,7.64,6.84,7.56,8.44,8.33
166,5.03,5.48,6.18,5.59,,
167,8.03,8.13,7.35,8.63,,
168,3.68,3.37,,,,
169,6.81,6.58,6.21,7.22,7.52,7.38
170,4.49,4.14,4.3,3.74,,
171,4.94,6.77,6.35,5.15,4.91,4.61
172,4.85,5.19,4.67,6.11,,
173,5.13,5.94,6.0,4.63,,
174,6.58,5.2,4.78,5.86,5.9,6.42
175,4.47,3.98,4.67,5.41,,
176,5.48,6.16,6.37,7.81,7.89,7.71
177,7.0,6.61,5.74,5.29,3.97,3.96
178,7.61,7.87,7.35,7.07,6.81,7.62
179,7.81,6.77,6.45,6.36,6.33,6.0
180,2.08,1.61,,,,
181,6.44,6.75,6.31,7.07,4.67,5.84
182,5.32,4.84,3.79,3.47,,
183,7.55,7.91,8.06,7.44,8.89,8.58
184,5.57,4.97,4.78,5.3,,
185,6.58,6.39,5.62,5.3,,
186,4.18,4.37,,,,
187,8.62,8.35,7.68,8.52,7.74,7.29
188,4.31,,,,,
189,8.25,8.9,8.56,8.81,8.3,8.75
190,7.16,6.45,,,,
191,8.32,8.22,7.44,8.56,8.3,7.92
192,7.29,6.87,5.55,5.15,,
193,5.74,6.25,5.03,4.67,,
194,4.47,3.24,3.04,3.7,,
195,6.39,5.25,5.76,7.04,8.33,7.83
196,6.52,6.72,6.82,5.36,,
197,6.48,5.86,4.81,5.82,5.07,4.93
198,4.78,5.21,5.06,7.11,,
199,5.12,4.7,4.27,5.39,5.41,5.54
200,6.55,7.28,6.43,7.89,8.22,8.12
201,6.38,5.94,5.71,5.75,5.33,6.08
202,8.94,8.5,8.12,9.19,9.37,9.62
203,5.53,3.61,3.09,,,
204,7.91,8.13,7.5,7.74,7.7,8.42
205,6.35,6.31,5.32,4.59,4.43,5.4
206,6.81,6.08,6.23,5.69,4.54,
207,9.06,9.1,9.0,9.15,9.26,9.38
208,2.87,3.7,,,,
209,5.47,4.47,5.33,5.81,,
210,5.22,4.54,,,,
211,7.5,6.94,6.91,5.69,4.88,
212,7.52,7.06,6.59,7.56,7.12,8.41
213,2.8,3.4,,,,
214,4.44,6.67,,,,
215,4.07,3.76,2.02,,,
216,7.41,6.84,4.97,4.17,,
217,7.72,6.84,5.49,8.0,8.19,7.88
218,5.31,5.28,5.0,4.9,4.43,
