"docente","materia","nota_media"
0,"ANA1B",8.2
0,"BGC1BA",5.52
0,"BGE1B",5.39
0,"BGE1E",4.61
0,"BGE1EA",4.79
0,"BGE3E",3.86
0,"BGE4E",4.79
0,"BIO2B",5.99
0,"CCI4E",8.11
0,"CTM2B",9.85
0,"GENERAL",5.41
0,"IIN2E",5.46
0,"IIN3E",6.33
1,"EF2SE",0
1,"EFI1B",4.9
1,"EFI1E",5.96
1,"EFI2E",6.11
1,"EFI3E",5.7
1,"GENERAL",5.89
2,"CAV3E",4.65
2,"DIT2B",6.36
2,"EPV1E",5.09
2,"EPV2E",3.78
2,"EPV4E",5.9
2,"GENERAL",5.05
3,"GEG2B",6.86
3,"GENERAL",6.13
3,"GHI1E",5.7
3,"GHI2E",5.27
3,"GHI3E",4.17
3,"GHI3EA",4.42
3,"GHI4E",5.77
3,"HES2B",6.98
3,"HMC1B",6.04
3,"HMC1BA",8.16
4,"ATE1BA",8.06
4,"GENERAL",5.72
4,"LCL1BA",5.19
4,"LCL1E",5.53
4,"LCL2B",5.78
4,"LCL2BA",5.61
4,"LCL2E",5.8
4,"LCL2EA",6.05
4,"LCL3E",6.07
4,"LCL3EA",5.6
4,"RCC1E",3.66
5,"GENERAL",6.14
5,"IIN1E",6.94
5,"ISO2B",7.94
5,"MAT1E",4.81
5,"ROB2E",6.41
5,"TEC1E",5.31
5,"TEC3E",6.45
6,"GENERAL",4.95
6,"PIN1B",4.9
6,"PIN1E",4.7
6,"PIN2B",5.53
6,"PIN4E",4.09
7,"GENERAL",7.36
7,"RC1SE",0
7,"REC1B",7.57
7,"REC1BA",8.01
7,"REC1E",6.5
7,"REC1EA",7.18
7,"REC2BA",9.33
7,"REC2E",7.26
7,"REC2EA",7.99
7,"REC3E",7.48
7,"REC3EA",7.42
7,"REC4E",8.14
7,"REC4EA",6.79
8,"GENERAL",6.63
8,"SFR1B",6.87
8,"SFR1E",6.39
8,"SFR2B",8.4
8,"SFR2E",7.05
8,"SFR3E",6.48
8,"SFR4E",6.67
8,"VET4E",6.16
8,"VS4SE",0
9,"GENERAL",5.85
9,"IIN1E",5.26
9,"ISO2B",7.85
9,"TEC1E",4.92
9,"TIN2B",6.86
10,"GENERAL",4.93
10,"LCL1B",5.37
10,"LCL1E",5.9
10,"LCL1EA",5.33
10,"LCL2E",4.58
10,"LCL3E",5.07
10,"LCL3EA",4.12
10,"LCL4E",4.64
10,"RCC1E",4.17
10,"RCC2E",4.12
10,"RCC3E",5.32
11,"GENERAL",7.13
11,"HES2B",7.78
11,"VET1E",6.18
12,"BGE1E",5.52
12,"BGE1EA",6.39
12,"GENERAL",6.02
12,"IIN1E",6.83
12,"IIN2E",7.61
13,"GENERAL",4.85
13,"GHI1E",4.91
13,"GHI2E",5.32
13,"GHI4E",4.41
13,"HES2B",4.63
14,"GENERAL",5.11
14,"MAA3E",4.09
14,"MAA4E",6.38
14,"MAB3E",3.14
14,"MAB4E",4.21
14,"MAT1B",5
14,"MAT1E",4.57
14,"MAT1EA",5.65
14,"MAT2B",4.8
14,"MAT2E",4.86
14,"MAT3EA",6.87
15,"GEG2B",5.89
15,"GENERAL",4.2
15,"GHI1E",4.62
15,"GHI2E",3.33
15,"GHI3E",3.07
15,"HMC1B",7.2
16,"GENERAL",4.66
16,"LCL1B",4.17
16,"LCL1E",3.3
16,"LCL1EA",4.29
16,"LCL2E",4.9
16,"LCL2EA",4.41
16,"LCL3E",4.62
16,"LCL3EA",5.59
16,"LCL4E",4.86
16,"LCL4EA",5.46
16,"RCC1E",3.44
16,"RCC2E",1
16,"RCC3E",5.6
17,"GENERAL",4.79
17,"PIB1E",6.64
17,"PIN1E",3.92
17,"PIN2E",4.25
17,"PIN2PM",3.25
18,"FIL1B",6.42
18,"GENERAL",6.27
18,"HIF2B",4.99
18,"PSI2B",8.88
18,"VET1E",5.92
18,"VET2E",4.16
18,"VET3E",7.37
18,"VET4E",7.09
19,"ACM3PM",4.64
19,"ATE2BA",7.96
19,"BGC1BA",6.5
19,"BGE1B",7.84
19,"BGE1E",3.83
19,"BGE3E",6.38
19,"BGE3EA",6.88
19,"BGE4E",6.92
19,"CTM2B",8.76
19,"GENERAL",6.22
19,"IIN1E",5.43
19,"IIN2E",0.8
19,"TUT3PM",0
20,"EFI1E",7.07
20,"EFI2E",6.72
20,"GENERAL",5.92
20,"TUT2E",0
21,"CAV3E",6.27
21,"CUA1B",6.41
21,"CUA2B",8.44
21,"EPV2E",6.81
21,"EPV4E",7.65
21,"GENERAL",6.95
22,"ACM2PM",3.27
22,"BGE3E",3.23
22,"CAA4E",6.4
22,"FIQ1B",5.73
22,"FIQ2E",3.66
22,"FIQ3E",5
22,"FIQ4E",5.29
22,"FIS2B",5.73
22,"FIS2BA",8.17
22,"GENERAL",4.78
23,"GENERAL",5.22
23,"GHI1E",1.39
23,"GHI2E",5.68
23,"GHI3E",5.33
23,"GHI4E",5.27
23,"HAR2B",4.86
24,"BGC1BA",4.33
24,"BGE1B",6.45
24,"BGE1E",6.17
24,"BGE1EA",5.38
24,"BGE3E",4.19
24,"BGE3EA",4.97
24,"BGE4E",6.5
24,"BGE4EA",6.27
24,"BIO2B",7.69
24,"BIO2BA",7.32
24,"CCI4E",8.14
24,"CUC1B",7.45
24,"GENERAL",6.39
24,"IIN2E",6.86
24,"IIN3E",6.99
24,"YIC4EA",7.56
25,"GENERAL",5.56
25,"IIN1E",6.65
25,"LCL1B",5.5
25,"LCL1BA",5.56
25,"LCL1E",5.11
25,"LCL1EA",5.77
25,"LCL2B",6.07
25,"LCL2E",4.97
25,"LCL2EA",5.48
25,"LCL3E",5.51
25,"LCL4E",6.79
25,"LCL4EA",5.39
25,"VET1E",6.8
25,"VET2E",6.13
26,"GENERAL",5.37
26,"MAA3E",5.81
26,"MAA4E",5.73
26,"MAB3E",2
26,"MAT1B",5.11
26,"MAT1BA",5.42
26,"MAT1E",4.61
26,"MAT1EA",5.73
26,"MAT2E",5.15
26,"MAT2EA",2.8
26,"MAT3EA",3.59
26,"MCS1B",3.69
26,"MCS1BA",3.21
26,"MTB4EA",4.43
27,"EA1SE",0
27,"EA2SE",0
27,"EA3SE",0
27,"EA4SE",0
27,"GENERAL",5.32
27,"MUS2E",5.19
27,"MUS2EA",5.78
27,"MUS3E",5.27
27,"MUS3EA",5.64
28,"GENERAL",7.15
28,"PIB1B",8.26
28,"PIB1E",7.16
28,"PIB2E",6.95
28,"PIB3E",7.44
28,"PIB4E",7.87
28,"PIN2B",6.3
28,"PIN2E",5.28
29,"GENERAL",6.06
29,"VET2E",6.06
30,"AC1SE",0
30,"AC3SE",0
30,"ACM2PM",5
30,"AED3EA",0
30,"ANA1BA",3.4
30,"AS1SE",0
30,"AS3SE",0
30,"ATE1BA",10
30,"ATE1EA",5
30,"ATE2EA",5
30,"BGE1B",3.7
30,"BGE1E",3.78
30,"BGE1EA",5.89
30,"BGE3E",4.01
30,"BGE3EA",4.07
30,"CAV3E",2.64
30,"CAV3EA",3
30,"CEM1E",0.71
30,"CTM2B",5
30,"CUA1B",3.81
30,"CUA2B",10
30,"CUC1B",6.7
30,"DIT1B",3.9
30,"DIT2B",5
30,"DYO1BA",2.25
30,"DYP2BA",0
30,"EA1SE",0
30,"EA3SE",0
30,"ECO1B",6
30,"EEM2B",5.43
30,"EF1SE",0
30,"EF3SE",0
30,"EFI1B",5.89
30,"EFI1BA",5.5
30,"EFI1E",5.1
30,"EFI1EA",6.21
30,"EFI2E",5.18
30,"EFI2EA",6.58
30,"EFI3E",4.61
30,"EFI3EA",4.56
30,"EPV1E",5.92
30,"EPV1EA",7.87
30,"EPV2E",1.77
30,"EPV2EA",7.49
30,"FIL1B",4.45
30,"FIL1BA",6.83
30,"FIQ1B",3.69
30,"FIQ2E",3.94
30,"FIQ2EA",5.16
30,"FIQ3E",2.36
30,"FIQ3EA",2.61
30,"FRE1BA",0
30,"GEG2B",6.67
30,"GENERAL",5.28
30,"GHI1E",3.28
30,"GHI1EA",5.81
30,"GHI2E",5.03
30,"GHI2EA",6.4
30,"GHI3E",3.73
30,"GHI3EA",4.17
30,"GRI1B",7.25
30,"HAR2B",5
30,"HES2B",6.5
30,"HIF2B",5
30,"HMC1B",4.42
30,"HMD2B",0
30,"IIN1E",1
30,"IIN2E",1
30,"IIN3E",1.81
30,"ISO2B",6.75
30,"ISO2BA",0
30,"LAT1B",4.12
30,"LAT1BA",5.67
30,"LAT2B",4.5
30,"LCL1B",4.53
30,"LCL1BA",6
30,"LCL1E",4.26
30,"LCL1EA",6.14
30,"LCL2B",5
30,"LCL2E",5.7
30,"LCL2EA",6.14
30,"LCL3E",3.67
30,"LCL3EA",3.91
30,"LEI1BA",6.33
30,"LEI1EA",6.01
30,"LEI2EA",6.43
30,"LEI3EA",5.11
30,"LIU1B",6
30,"LPM1B",1.75
30,"MAA3E",3.43
30,"MAB3E",2.8
30,"MAT1B",4.15
30,"MAT1BA",4.33
30,"MAT1E",3.73
30,"MAT1EA",6.05
30,"MAT2E",4.24
30,"MAT2EA",5.82
30,"MAT3EA",4.1
30,"MCS1B",3.43
30,"MCS1BA",1.75
30,"ME11B",7
30,"ME11E",5
30,"ME12B",6.5
30,"ME12E",8.11
30,"ME13E",5.67
30,"ME22B",6.89
30,"ME22E",6.33
30,"ME23E",6.4
30,"MIN1BA",9
30,"MP11EA",7.79
30,"MP12EA",7.41
30,"MP13EA",6.6
30,"MP21EA",7.23
30,"MP22EA",7.58
30,"MP23EA",6.6
30,"MPR1EA",7.85
30,"MPR2EA",7.97
30,"MPR3EA",6
30,"MUS2E",5.06
30,"MUS2EA",6.74
30,"MUS3E",2.9
30,"MUS3EA",2.98
30,"MUS4E",0
30,"PIB1B",8.33
30,"PIB1E",6.18
30,"PIB2E",6.46
30,"PIB3E",5
30,"PIN1B",3.51
30,"PIN1E",3.36
30,"PIN2B",5.75
30,"PIN2E",3.92
30,"PIN3E",4.12
30,"RCC1E",3.24
30,"RCC1EA",5.36
30,"RCC2E",3.23
30,"RCC2EA",5.45
30,"RCC3E",3.33
30,"REC1BA",7
30,"REC1E",5.85
30,"REC1EA",4.93
30,"REC2E",6.21
30,"REC2EA",5.5
30,"REC3E",4.83
30,"REC3EA",6
30,"SFR1B",9
30,"SFR1E",4.8
30,"SFR2B",10
30,"SFR2E",4.91
30,"SFR3E",2.29
