"docente","materia","nota_media"
0,"GENERAL",5.41
1,"GENERAL",5.89
2,"GENERAL",5.05
3,"GENERAL",6.13
4,"GENERAL",5.72
5,"GENERAL",6.14
6,"GENERAL",4.95
7,"GENERAL",7.36
8,"GENERAL",6.63
9,"GENERAL",5.85
10,"GENERAL",4.93
11,"GENERAL",7.13
12,"GENERAL",6.02
13,"GENERAL",4.85
14,"GENERAL",5.11
15,"GENERAL",4.2
16,"GENERAL",4.66
17,"GENERAL",4.79
18,"GENERAL",6.27
19,"GENERAL",6.22
20,"GENERAL",5.92
21,"GENERAL",6.95
22,"GENERAL",4.78
23,"GENERAL",5.22
24,"GENERAL",6.39
25,"GENERAL",5.56
26,"GENERAL",5.37
27,"GENERAL",5.32
28,"GENERAL",7.15
29,"GENERAL",6.06
30,"GENERAL",5.28
31,"GENERAL",5.33
32,"GENERAL",5.75
33,"GENERAL",7.97
34,"GENERAL",4.71
35,"GENERAL",5.02
36,"GENERAL",5.2
37,"GENERAL",6.15
38,"GENERAL",5.97
39,"GENERAL",4.51
40,"GENERAL",6.11
41,"GENERAL",4.18
42,"GENERAL",6.75
43,"GENERAL",5.99
44,"GENERAL",6.12
45,"GENERAL",5.56
46,"GENERAL",5.06
47,"GENERAL",6.26
48,"GENERAL",5.74
49,"GENERAL",7.24
50,"GENERAL",4.75
51,"GENERAL",5.96
52,"GENERAL",4.73
53,"GENERAL",5.98
54,"GENERAL",5.55
55,"GENERAL",0
56,"GENERAL",6.61
57,"GENERAL",6.46
58,"GENERAL",6.48
59,"GENERAL",6.85
60,"GENERAL",6.95
61,"GENERAL",5.39
62,"GENERAL",7.26
63,"GENERAL",6.04
67,"GENERAL",6.3
69,"GENERAL",6.54
70,"GENERAL",7.5
71,"GENERAL",5.33
72,"GENERAL",6.16
73,"GENERAL",6.04
74,"GENERAL",5.84
75,"GENERAL",7.01
76,"GENERAL",4.48
77,"GENERAL",6.35
78,"GENERAL",6.94
79,"GENERAL",6.03
80,"GENERAL",6.87
81,"GENERAL",6.06
84,"GENERAL",4.69
85,"GENERAL",7.03
86,"GENERAL",5.29
87,"GENERAL",6.98
88,"GENERAL",5.16
89,"GENERAL",5.12
90,"GENERAL",5.88
91,"GENERAL",3.88
92,"GENERAL",2.65
93,"GENERAL",6.19
94,"GENERAL",4.99
95,"GENERAL",4.89
96,"GENERAL",1
97,"GENERAL",5.23
98,"GENERAL",7.57
99,"GENERAL",0
100,"GENERAL",5.38
101,"GENERAL",5.94
102,"GENERAL",4.29
103,"GENERAL",7.06
107,"GENERAL",4.02
108,"GENERAL",5.59
109,"GENERAL",5.98
110,"GENERAL",5.16
111,"GENERAL",5.5
112,"GENERAL",5.42
113,"GENERAL",7.95
114,"GENERAL",6.5
115,"GENERAL",6.24
116,"GENERAL",6.63
117,"GENERAL",5.1
118,"GENERAL",4.93
119,"GENERAL",3.75
120,"GENERAL",6.62
121,"GENERAL",5.88
122,"GENERAL",6.14
123,"GENERAL",4.35
124,"GENERAL",5.4
125,"GENERAL",5.74
126,"GENERAL",7.35
127,"GENERAL",0
132,"GENERAL",4.8
133,"GENERAL",6.58
134,"GENERAL",4.84
135,"GENERAL",5.09
136,"GENERAL",5.56
137,"GENERAL",5.44
138,"GENERAL",6.43
139,"GENERAL",5.52
140,"GENERAL",7.93
141,"GENERAL",4.5
142,"GENERAL",5.73
143,"GENERAL",7.98
144,"GENERAL",5.14
145,"GENERAL",6.01
146,"GENERAL",4.92
147,"GENERAL",5.67
148,"GENERAL",5.21
149,"GENERAL",6.63
150,"GENERAL",6.43
151,"GENERAL",6.43
152,"GENERAL",6.11
154,"GENERAL",5.5
155,"GENERAL",6.04
157,"GENERAL",6.14
161,"GENERAL",3.86
162,"GENERAL",6.51
163,"GENERAL",6.6
164,"GENERAL",4.47
165,"GENERAL",4.44
166,"GENERAL",6.5
167,"GENERAL",7.14
168,"GENERAL",6.3
169,"GENERAL",6.78
170,"GENERAL",6.49
171,"GENERAL",4.46
172,"GENERAL",3
173,"GENERAL",5.6
174,"GENERAL",6.63
175,"GENERAL",2.4
176,"GENERAL",3.3
177,"GENERAL",6.26
178,"GENERAL",4.32
179,"GENERAL",5.81
180,"GENERAL",6.23
181,"GENERAL",5.69
182,"GENERAL",4.64
183,"GENERAL",4.23
184,"GENERAL",7.4
185,"GENERAL",6.85
186,"GENERAL",6.6
189,"GENERAL",7.22
191,"GENERAL",5.19
192,"GENERAL",4.73
193,"GENERAL",6.9
194,"GENERAL",4.84
195,"GENERAL",6.1
196,"GENERAL",5.78
197,"GENERAL",4.05
198,"GENERAL",5.31
199,"GENERAL",6.84
200,"GENERAL",5.62
201,"GENERAL",5
202,"GENERAL",6.28
203,"GENERAL",4.74
204,"GENERAL",6.73
205,"GENERAL",7.55
206,"GENERAL",7.16
207,"GENERAL",6.71
208,"GENERAL",5.07
209,"GENERAL",6.03
210,"GENERAL",6.96
211,"GENERAL",2.56
212,"GENERAL",6.22
213,"GENERAL",5.82
214,"GENERAL",7.78
215,"GENERAL",7.25
216,"GENERAL",7.12
222,"GENERAL",4.73
223,"GENERAL",7.5
224,"GENERAL",6.49
225,"GENERAL",5.56
226,"GENERAL",6.49
227,"GENERAL",5.96
228,"GENERAL",5.66
229,"GENERAL",6.68
230,"GENERAL",6.71
231,"GENERAL",4.71
232,"GENERAL",6.69
233,"GENERAL",7.26
234,"GENERAL",6.76
235,"GENERAL",7.16
236,"GENERAL",5.15
237,"GENERAL",4.88
238,"GENERAL",5.16
239,"GENERAL",5.64
240,"GENERAL",5.97
241,"GENERAL",7.07
242,"GENERAL",5.38
243,"GENERAL",5.75
244,"GENERAL",6.53
245,"GENERAL",6.77
248,"GENERAL",8.74
249,"GENERAL",8.45
250,"GENERAL",7.26
254,"GENERAL",6
255,"GENERAL",6.79
256,"GENERAL",5.2
